  J/psi pT    B pT Mean    BpT RMS  
 3.0-4.0   & 4.4  /pm    1.5 

 4.0-5.0   & 5.5  /pm    1.5 

 5.0-6.0   & 6.6  /pm    1.7 

 6.0-7.0   & 7.8  /pm    1.8 

 7.0-8.0   & 8.9  /pm    1.9 

 8.0-9.0   & 10.1  /pm    2.0 

 9.0-10.0   & 11.2  /pm    2.0 

 10.0-11.0   & 12.4  /pm    2.4 

 11.0-12.0   & 13.7  /pm    2.5 

 12.0-13.0   & 14.7  /pm    2.6 

 13.0-14.0   & 16.0  /pm    2.6 

 14.0-15.0   & 17.1  /pm    3.0 

 15.0-16.0   & 18.5  /pm    3.5 

 16.0-17.0   & 19.2  /pm    2.6 

 17.0-18.0   & 20.1  /pm    2.3 

 18.0-19.0   & 21.7  /pm    3.3 

 19.0-20.0   & 23.2  /pm    4.3 

 20.0-21.0   & 24.6  /pm    3.9 

 21.0-22.0   & 25.4  /pm    3.1 

 22.0-23.0   & 26.2  /pm    2.5 

 23.0-24.0   & 27.5  /pm    3.5 

 24.0-25.0   & 27.6  /pm    2.5 

 25.0-26.0   & 28.3  /pm    1.1 

 26.0-27.0   & 29.4  /pm    4.0 

 27.0-28.0   & 32.2  /pm    2.8 

 28.0-29.0   & 32.6  /pm    2.5 

 29.0-30.0   & 32.1  /pm    3.0 

  B pT    J/psi pT Mean    J/psi pT RMS  
 0.0-1.0   & 0.8  /pm    0.5 

 1.0-2.0   & 1.5  /pm    0.5 

 2.0-3.0   & 2.4  /pm    0.6 

 3.0-4.0   & 3.2  /pm    0.7 

 4.0-5.0   & 4.0  /pm    0.8 

 5.0-6.0   & 4.8  /pm    0.9 

 6.0-7.0   & 5.6  /pm    1.0 

 7.0-8.0   & 6.4  /pm    1.1 

 8.0-9.0   & 7.2  /pm    1.3 

 9.0-10.0   & 7.9  /pm    1.4 

 10.0-11.0   & 8.6  /pm    1.6 

 11.0-12.0   & 9.3  /pm    1.7 

 12.0-13.0   & 10.0  /pm    2.0 

 13.0-14.0   & 10.6  /pm    2.1 

 14.0-15.0   & 11.2  /pm    2.4 

 15.0-16.0   & 12.0  /pm    2.5 

 16.0-17.0   & 12.6  /pm    2.7 

 17.0-18.0   & 13.6  /pm    2.9 

 18.0-19.0   & 13.9  /pm    3.2 

 19.0-20.0   & 14.6  /pm    3.6 

 20.0-21.0   & 14.9  /pm    3.5 

 21.0-22.0   & 15.6  /pm    3.8 

 22.0-23.0   & 16.6  /pm    3.9 

 23.0-24.0   & 17.7  /pm    3.9 

 24.0-25.0   & 17.7  /pm    4.6 

 25.0-26.0   & 19.3  /pm    4.2 

 26.0-27.0   & 20.1  /pm    4.4 

 27.0-28.0   & 19.4  /pm    5.4 

 28.0-29.0   & 22.2  /pm    4.6 

 29.0-30.0   & 20.3  /pm    5.2 

  B pT    J/psi pT Mean    J/psi pT RMS  
 0.0-1.0   & 0.8  /pm    0.5 

 1.0-2.0   & 1.5  /pm    0.5 

 2.0-3.0   & 2.4  /pm    0.6 

 3.0-4.0   & 3.2  /pm    0.7 

 4.0-5.0   & 4.0  /pm    0.8 

 5.0-6.0   & 4.8  /pm    0.9 

 6.0-7.0   & 5.6  /pm    1.0 

 7.0-8.0   & 6.4  /pm    1.1 

 8.0-9.0   & 7.2  /pm    1.3 

 9.0-10.0   & 7.9  /pm    1.4 

 10.0-11.0   & 8.6  /pm    1.6 

 11.0-12.0   & 9.3  /pm    1.7 

 12.0-13.0   & 10.0  /pm    2.0 

 13.0-14.0   & 10.6  /pm    2.1 

 14.0-15.0   & 11.2  /pm    2.4 

